figure,metric,method,users,target,result,abs_error,rel_error
fig3_A,throughput,RS,100,17126.43678160919,20219.010000000002,3092.5732183908112,0.1805730671140944
fig3_A,throughput,RS,150,27614.942528735628,31428.425,3813.4824712643713,0.13809489073881387
fig3_A,throughput,RS,200,34655.1724137931,40209.442500000005,5554.270086206903,0.16027247014925394
fig3_A,throughput,RS,250,39971.2643678161,45550.6325,5579.368132183903,0.13958447951114292
fig3_A,throughput,RS,300,43850.574712643676,47239.155,3388.5802873563225,0.07727561861074707
fig3_A,throughput,RS,350,47155.1724137931,49387.3375,2232.1650862069,0.04733659049360154
fig3_A,throughput,RS,400,49885.05747126437,52191.392499999994,2306.3350287356225,0.046232983294930675
fig3_A,throughput,RS,450,51321.83908045977,53135.1925,1813.3534195402244,0.03533297816349373
fig3_A,throughput,RS,500,53333.333333333336,54219.1475,885.8141666666634,0.01660901562499994
fig3_A,throughput,RS,550,54770.11494252874,59571.5025,4801.387557471266,0.0876643688352571
fig3_A,throughput,RS,600,56206.89655172414,62729.345,6522.4484482758635,0.11604356134969328
fig3_A,throughput,MSTS,100,22442.52873563218,19778.5225,-2664.0062356321796,0.11870347887323927
fig3_A,throughput,MSTS,150,33505.74712643678,30561.0,-2944.7471264367778,0.08788782161234981
fig3_A,throughput,MSTS,200,39540.22988505747,39001.6,-538.6298850574749,0.01362232558139544
fig3_A,throughput,MSTS,250,44712.643678160915,44093.649999999994,-618.9936781609213,0.013843817480719833
fig3_A,throughput,MSTS,300,47586.206896551725,46474.19,-1112.0168965517223,0.023368471014492714
fig3_A,throughput,MSTS,350,49597.70114942529,47893.3375,-1704.363649425286,0.034363763035921174
fig3_A,throughput,MSTS,400,51609.19540229885,51835.46,226.2645977011489,0.004384191536748319
fig3_A,throughput,MSTS,450,53333.333333333336,52708.947499999995,-624.385833333341,0.011707234375000142
fig3_A,throughput,MSTS,500,54770.11494252874,53395.19249999999,-1374.9224425287466,0.02510351573976935
fig3_A,throughput,MSTS,550,55057.471264367814,59787.715,4730.2437356321825,0.0859146565762004
fig3_A,throughput,MSTS,600,55919.54022988506,62805.9825,6886.442270114938,0.12314912178828356
fig3_A,throughput,MGCS,100,24310.344827586203,24059.614999999998,-250.72982758620492,0.010313709219858077
fig3_A,throughput,MGCS,150,36091.95402298851,40155.399999999994,4063.4459770114845,0.1125859235668787
fig3_A,throughput,MGCS,200,43850.574712643676,56046.9925,12196.417787356324,0.27813587090432507
fig3_A,throughput,MGCS,250,49885.05747126437,69505.0925,19620.035028735627,0.39330484965437773
fig3_A,throughput,MGCS,300,53333.333333333336,76811.68,23478.346666666657,0.4402189999999998
fig3_A,throughput,MGCS,350,56494.25287356322,84380.435,27886.182126436775,0.49361095523906395
fig3_A,throughput,MGCS,400,59367.816091954024,94907.82749999998,35540.01140804596,0.5986410440464663
fig3_A,throughput,MGCS,450,60229.88505747126,100453.375,40223.48994252874,0.6678327528625955
fig3_A,throughput,MGCS,500,61954.02298850575,106871.65000000001,44917.62701149426,0.7250155009276439
fig3_A,throughput,MGCS,550,63965.51724137931,149136.25999999998,85170.74275862068,1.331510264150943
fig3_A,throughput,MGCS,600,64252.87356321839,187126.28,122873.4064367816,1.912341030411449
fig3_A,throughput,CAHS,100,23735.63218390804,23084.690000000002,-650.9421839080387,0.027424682808716405
fig3_A,throughput,CAHS,150,38678.16091954023,36822.6225,-1855.5384195402294,0.0479738016344725
fig3_A,throughput,CAHS,200,47298.85057471265,48203.015,904.1644252873521,0.01911599149453211
fig3_A,throughput,CAHS,250,54770.11494252874,55872.99999999999,1102.885057471256,0.020136621196222303
fig3_A,throughput,CAHS,300,59367.816091954024,59743.985,376.1689080459764,0.0063362429816069595
fig3_A,throughput,CAHS,350,63390.80459770115,61884.3125,-1506.4920977011498,0.02376515185856755
fig3_A,throughput,CAHS,400,65977.01149425287,67041.43,1064.4185057471186,0.016133172473867478
fig3_A,throughput,CAHS,450,67988.50574712643,67873.74,-114.76574712642469,0.0016880169061705746
fig3_A,throughput,CAHS,500,69712.64367816092,69853.0425,140.3988218390732,0.002013964962901792
fig3_A,throughput,CAHS,550,72298.85057471265,71556.425,-742.4255747126444,0.010268843402225765
fig3_A,throughput,CAHS,600,73735.63218390805,70041.7625,-3693.8696839080512,0.05009612821512088
fig3_A,delay,RS,100,78.63541666666667,85.43055380220271,6.795137135536038,0.08641318916564573
fig3_A,delay,RS,150,78.85416666666667,85.84197472148533,6.987808054818657,0.08861685247854571
fig3_A,delay,RS,200,78.59895833333333,85.92929412590755,7.330335792574218,0.09326250561091047
fig3_A,delay,RS,250,78.78125,85.87553656705822,7.094286567058219,0.09005044432600676
fig3_A,delay,RS,300,78.85416666666667,86.40581854970799,7.551651883041316,0.09576731582192421
fig3_A,delay,RS,350,78.52604166666667,86.34256575967848,7.816524093011807,0.09954053365114193
fig3_A,delay,RS,400,78.47135416666667,86.16283509904596,7.691480932379292,0.0980164164880247
fig3_A,delay,RS,450,78.5625,86.2620014880574,7.699501488057393,0.09800479221075441
fig3_A,delay,RS,500,78.5625,86.47468796010176,7.912187960101761,0.10071201858522529
fig3_A,delay,RS,550,78.70833333333333,86.48509849263428,7.77676515930095,0.09880485115046206
fig3_A,delay,RS,600,71.05208333333333,86.31277316031083,15.260689826977497,0.21478173631283387
fig3_A,delay,MSTS,100,77.17708333333333,85.36921106031531,8.19212772698198,0.10614715370364018
fig3_A,delay,MSTS,150,78.63541666666667,84.85657849189428,6.221161825227611,0.07911399327352638
fig3_A,delay,MSTS,200,76.63020833333333,85.17443567342761,8.544227340094281,0.11149946641052824
fig3_A,delay,MSTS,250,77.76041666666667,85.55043947044719,7.790022803780516,0.10017979761057327
fig3_A,delay,MSTS,300,78.08854166666667,86.32502147374448,8.236479807077814,0.1054761637403415
fig3_A,delay,MSTS,350,77.03125,85.04950736456263,8.01825736456263,0.10409096781582318
fig3_A,delay,MSTS,400,76.375,85.12912396759255,8.754123967592548,0.11462028108140816
fig3_A,delay,MSTS,450,76.921875,85.35940659221504,8.437531592215038,0.10968962459917986
fig3_A,delay,MSTS,500,77.32291666666667,85.65512354035094,8.332206873684271,0.10775856929458305
fig3_A,delay,MSTS,550,77.10416666666667,86.00107224853414,8.896905581867472,0.11538812967566567
fig3_A,delay,MSTS,600,77.65104166666667,86.27130260429509,8.620260937628416,0.11101281776273766
fig3_A,delay,MGCS,100,77.32291666666667,84.6909966228549,7.368079956188225,0.09528973134771246
fig3_A,delay,MGCS,150,76.1015625,84.8017357765423,8.700173276542301,0.11432318852247353
fig3_A,delay,MGCS,200,75.46354166666667,85.15855012814205,9.695008461475382,0.12847274653897944
fig3_A,delay,MGCS,250,75.57291666666667,85.33849678922529,9.765580122558617,0.12922063291049307
fig3_A,delay,MGCS,300,75.68229166666667,86.11771328500672,10.435421618340044,0.13788458817158408
fig3_A,delay,MGCS,350,76.15625,85.83797198317924,9.681721983179244,0.127129710078677
fig3_A,delay,MGCS,400,75.42708333333333,85.51406838186247,10.086985048529144,0.13373160677514126
fig3_A,delay,MGCS,450,75.86458333333333,85.45206658988654,9.587483256553213,0.12637627250159392
fig3_A,delay,MGCS,500,75.86458333333333,85.37561647598336,9.511033142650035,0.1253685543998906
