figure,metric,method,users,target,result,abs_error,rel_error
fig4_B,throughput,RS,100,17938.14432989691,24630.122499999998,6691.978170103088,0.37305855316091924
fig4_B,throughput,RS,150,29896.907216494845,36304.502499999995,6407.59528350515,0.21432301465517228
fig4_B,throughput,RS,200,40206.18556701031,46228.585,6022.399432989689,0.1497878833333333
fig4_B,throughput,RS,250,48865.9793814433,54157.505,5291.525618556698,0.10828649472573833
fig4_B,throughput,RS,300,55463.91752577319,59356.34249999999,3892.4249742268003,0.07017940938661704
fig4_B,throughput,RS,350,60824.74226804124,63847.10249999999,3022.3602319587517,0.049689651271186255
fig4_B,throughput,RS,400,64536.08247422681,66257.86249999999,1721.7800257731797,0.026679339057507735
fig4_B,throughput,RS,450,68247.42268041238,67873.8425,-373.58018041237665,0.0054739089879154885
fig4_B,throughput,RS,500,72371.13402061856,68655.165,-3715.9690206185624,0.05134601068376076
fig4_B,throughput,RS,550,74432.98969072165,69665.1175,-4767.872190721653,0.06405590062326876
fig4_B,throughput,RS,600,76082.47422680413,70698.175,-5384.299226804127,0.07076924457994584
fig4_B,throughput,MSTS,100,21237.11340206185,25200.347499999996,3963.234097938148,0.18661830461165071
fig4_B,throughput,MSTS,150,33195.8762886598,37165.8925,3970.016211340204,0.11959365605590054
fig4_B,throughput,MSTS,200,43917.52577319588,46017.86749999999,2100.3417268041158,0.04782468251173691
fig4_B,throughput,MSTS,250,51752.57731958763,54880.545000000006,3127.9676804123737,0.06044080976095622
fig4_B,throughput,MSTS,300,57938.1443298969,60916.63750000001,2978.493170103109,0.05140815613879032
fig4_B,throughput,MSTS,350,61649.48453608247,65032.49,3383.0054639175287,0.05487483779264219
fig4_B,throughput,MSTS,400,65360.82474226804,67265.3175,1904.4927577319613,0.0291381384069401
fig4_B,throughput,MSTS,450,69072.1649484536,68338.6,-733.564948453597,0.010620268656716256
fig4_B,throughput,MSTS,500,71546.39175257731,70045.4225,-1500.9692525773135,0.020978965057636804
fig4_B,throughput,MSTS,550,73608.2474226804,71302.11,-2306.1374226804037,0.03132987815126039
fig4_B,throughput,MSTS,600,74432.98969072165,72738.395,-1694.594690721642,0.022766715373961122
