method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
CAHS,100,400,0.1065,0.1656,0.0474,71.91454614966025,6.631954938316728,58.41898014136449,6.863611069979033,58.15815071892263,71.6537167272184,23084.690000000002,23609.295,22070.0,23070.0,23084690000.000004,23609295000.0,22070000000.0,23070000000.0,0.2546557124715108,0.6453442875284893,0.10000000000000002,19950
MGCS,100,400,0.229125,0.41085,0.0474,84.6909966228549,6.839046788211938,70.98833876466394,6.863611069979033,70.01671188789778,83.71936974608874,24059.614999999998,24704.6525,22808.0,24583.0,24059614999.999996,24704652500.0,22808000000.0,24583000000.0,0.0,0.0,0.0,0
MSTS,100,400,0.044175,0.04095,0.0474,85.36921106031531,6.289506515549139,72.21609347478714,6.863611069979033,71.21740514287465,84.37052272840283,19778.5225,20161.965,19270.0,19770.0,19778522500.0,20161965000.0,19270000000.0,19770000000.0,0.0,0.0,0.0,0
RS,100,400,0.381825,0.71625,0.0474,85.43055380220271,7.344688811523927,71.22225392069976,6.863611069979033,70.35376363733057,84.56206351883353,20219.010000000002,20539.8975,20785.0,21285.0,20219010000.000004,20539897500.0,20785000000.0,21285000000.0,0.0,0.0,0.0,0
CAHS,150,400,0.09253333333333333,0.1377,0.04736666666666667,69.50672517723527,6.689083176230502,55.95635471151243,6.8612872894923305,56.04264355539195,69.59301402111478,36822.6225,37891.475,35096.0,36704.0,36822622500.0,37891475000.0,35096000000.0,36704000000.0,0.3668112460274857,0.5331887539725142,0.1,29925
MGCS,150,400,0.32915,0.6109333333333333,0.04736666666666667,84.8017357765423,6.8553133401457735,71.08513514690421,6.8612872894923305,70.60476570349003,84.32136633312814,40155.399999999994,44229.417499999996,38611.00000000001,44211.0,40155399999.99999,44229417499.99999,38611000000.00001,44211000000.0,0.0,0.0,0.0,0
MSTS,150,400,0.04415,0.040933333333333335,0.04736666666666667,84.85657849189428,6.29047788666454,71.70481331573743,6.8612872894923305,71.18738781150023,84.3391529876571,30561.0,32076.445,31729.0,32289.0,30561000000.0,32076445000.0,31729000000.0,32289000000.0,0.0,0.0,0.0,0
RS,150,400,0.38526666666666665,0.7231666666666666,0.04736666666666667,85.84197472148533,7.340909029902744,71.63977840209024,6.8612872894923305,71.087901798945,85.29009811834008,31428.425,32963.09,32650.0,36271.0,31428425000.0,32963089999.999996,32650000000.0,36271000000.0,0.0,0.0,0.0,0
CAHS,200,400,0.093325,0.13925,0.0474,68.71658189631636,6.7241127875636515,55.130286259079064,6.862182849673632,55.130688440302386,68.71698407753968,48203.015,49500.9475,47781.0,49257.0,48203015000.0,49500947500.0,47781000000.0,49257000000.0,0.446473833599087,0.4535261664009131,0.10000000000000002,39900
MGCS,200,400,0.4311375,0.814875,0.0474,85.15855012814205,7.070407267160681,71.22596001130775,6.862182849673632,70.80273715088799,84.73532726772231,56046.9925,68852.975,53000.0,68979.0,56046992500.0,68852975000.0,53000000000.0,68979000000.0,0.0,0.0,0.0,0
MSTS,200,400,0.0442125,0.041025,0.0474,85.17443567342761,6.303848439039546,72.00840438471445,6.862182849673632,71.5574586254449,84.72348991415807,39001.6,41686.67,37521.0,41638.0,39001600000.0,41686670000.0,37521000000.0,41638000000.0,0.0,0.0,0.0,0
RS,200,400,0.3803625,0.713325,0.0474,85.92929412590755,7.369193514424462,71.69791776180945,6.862182849673632,71.15136701385093,85.38274337794903,40209.442500000005,43378.8425,37610.0,41968.0,40209442500.00001,43378842500.0,37610000000.0,41968000000.0,0.0,0.0,0.0,0
CAHS,250,400,0.07912,0.1109,0.04734,68.41242526995678,6.8020188884673844,54.749682216361265,6.8607241651281266,54.819194304439826,68.48193735803534,55872.99999999999,57735.2275,53364.0,55359.0,55872999999.99999,57735227500.0,53364000000.0,55359000000.0,0.5082576727875561,0.39174232721244395,0.10000000000000002,49875
MGCS,250,400,0.4776,0.90786,0.04734,85.33849678922529,7.119731337190887,71.35804128690626,6.8607241651281266,71.02340741839194,85.00386292071096,69505.0925,98662.08,65044.0,97495.0,69505092500.0,98662080000.0,65044000000.0,97495000000.0,0.0,0.0,0.0,0
MSTS,250,400,0.04411,0.04088,0.04734,85.55043947044719,6.296665674256369,72.39304963106268,6.8607241651281266,72.04399668512228,85.20138652450677,44093.649999999994,48656.3075,42479.0,46817.0,44093649999.99999,48656307500.0,42479000000.0,46817000000.0,0.0,0.0,0.0,0
RS,250,400,0.38226,0.71718,0.04734,85.87553656705822,7.338757532614966,71.67605486931515,6.8607241651281266,71.28378632711407,85.48326802485717,45550.6325,51523.69000000001,46206.0,54895.0,45550632500.0,51523690000.00001,46206000000.0,54895000000.0,0.0,0.0,0.0,0
CAHS,300,400,0.07028333333333334,0.09318333333333334,0.04738333333333333,68.52090097755439,6.862709209795115,54.797480595045414,6.860711172713852,55.11382155886343,68.8372419413724,59743.985,61981.657499999994,61273.0,63697.0,59743985000.0,61981657499.99999,61273000000.0,63697000000.0,0.5473288097770789,0.3526711902229212,0.10000000000000002,59850
MGCS,300,400,0.49975833333333336,0.9521333333333334,0.04738333333333333,86.11771328500672,7.179497685469728,72.07750442682314,6.860711172713852,72.31804062660343,86.35824948478701,76811.68,133056.505,72381.0,135000.0,76811680000.0,133056505000.0,72381000000.0,135000000000.0,0.0,0.0,0.0,0
