method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
CAHS,100,400,0.2063,0.3751,0.0375,75.27958832547738,7.721669376500719,61.090449368740295,6.467469580236366,64.78211811521824,78.97125707195532,27230.850000000002,27920.23,27427.999999999996,28272.000000000004,27230850000.000004,27920230000.0,27427999999.999996,28272000000.000004,0.42786650329063686,0.48713349670936323,0.08499999999999998,19950
MGCS,100,400,0.132325,0.22715,0.0375,88.16301118282863,6.884211530938919,74.81133007165334,6.467469580236366,77.78433960955886,91.13602072073414,26376.212499999998,27902.989999999998,25560.0,27691.000000000004,26376212499.999996,27902989999.999996,25560000000.0,27691000000.000004,0.0,0.0,0.0,0
MSTS,100,400,0.038525,0.03955,0.0375,86.80255922094933,6.539494723420945,73.79559491729201,6.467469580236366,76.79505413126184,89.80201843491915,25200.347499999996,26302.4825,25817.0,27868.0,25200347499.999996,26302482500.0,25817000000.0,27868000000.0,0.0,0.0,0.0,0
RS,100,400,0.44995,0.8624,0.0375,87.86339872875433,7.507968490382558,73.88796065813541,6.467469580236366,76.87545769744332,90.85089576806223,24630.122499999998,25846.33,25225.0,25308.0,24630122499.999996,25846330000.0,25225000000.0,25308000000.0,0.0,0.0,0.0,0
CAHS,150,400,0.21318333333333334,0.3888666666666667,0.0375,73.93220750509512,7.59007915624948,59.87341363346903,6.468714715376609,63.50723916984457,77.56603304147066,44552.0175,45836.725,41319.0,43885.0,44552017500.0,45836725000.0,41319000000.0,43885000000.0,0.5777357702712158,0.3292642297287843,0.09299999999999999,29925
MGCS,150,400,0.16035,0.2832,0.0375,87.75273035803632,6.880202918261058,74.40381272439866,6.468714715376609,77.65912445582556,91.00804208946323,39150.665,46607.7175,34903.0,42974.0,39150665000.0,46607717500.0,34903000000.0,42974000000.0,0.0,0.0,0.0,0
MSTS,150,400,0.038533333333333336,0.03956666666666667,0.0375,87.06445587163046,6.506447991460579,74.08929316479328,6.468714715376609,77.18442180109005,90.15958450792724,37165.8925,43385.447499999995,36622.0,45684.0,37165892500.0,43385447499.99999,36622000000.0,45684000000.0,0.0,0.0,0.0,0
RS,150,400,0.4505,0.8635,0.0375,87.86018229671576,7.508391533603206,73.88307604773595,6.468714715376609,77.05963546637639,91.03674171535619,36304.502499999995,42323.0125,33968.0,43202.0,36304502499.99999,42323012500.0,33968000000.0,43202000000.0,0.0,0.0,0.0,0
CAHS,200,400,0.1857375,0.333975,0.0375,72.14828653017176,7.5702225357509665,58.10889030779117,6.469173686629613,61.556005425752225,75.5954016481328,60301.61499999999,62734.104999999996,54717.99999999999,61642.99999999999,60301614999.99999,62734104999.99999,54717999999.99999,61642999999.99999,0.6836140772743714,0.2153859227256286,0.10099999999999999,39900
MGCS,200,400,0.1392125,0.240925,0.0375,87.33366029403882,6.873849228472404,73.99063737893681,6.469173686629613,77.13950300878332,90.48252592388535,50078.235,65667.88,42135.0,67677.0,50078235000.0,65667880000.00001,42135000000.0,67677000000.0,0.0,0.0,0.0,0
MSTS,200,400,0.03885,0.0402,0.0375,87.14154528520254,6.513204263677692,74.15916733489524,6.469173686629613,77.03529998701212,90.01767793731942,46017.86749999999,58700.50750000001,43274.0,59469.00000000001,46017867499.99999,58700507500.00001,43274000000.0,59469000000.00001,0.0,0.0,0.0,0
RS,200,400,0.4493125,0.861125,0.0375,87.8923359534932,7.512211332838648,73.91095093402492,6.469173686629613,76.97580134803782,90.95718636750607,46228.585,58601.152500000004,42118.0,57784.0,46228585000.0,58601152500.0,42118000000.0,57784000000.0,0.0,0.0,0.0,0
CAHS,250,400,0.15158,0.26566,0.0375,71.96432428994785,7.5476297954030835,57.94848916357674,6.468205330968029,61.40851312394891,75.42434825032002,72517.25749999999,78616.92499999999,64203.99999999999,76658.0,72517257500.0,78616924999.99998,64203999999.99999,76658000000.0,0.7457873543893456,0.1452126456106544,0.109,49875
MGCS,250,400,0.1473,0.2571,0.0375,86.97997746692874,6.937970178497422,73.57380195746327,6.468205330968029,76.87095509773717,90.27713060720262,59627.719999999994,86606.15750000002,50221.0,77891.0,59627719999.99999,86606157500.00002,50221000000.0,77891000000.0,0.0,0.0,0.0,0
MSTS,250,400,0.03856,0.03962,0.0375,86.75925302010677,6.506456947840076,73.78459074129867,6.468205330968029,76.86143531550128,89.8360975943094,54880.545000000006,75188.18499999998,50139.0,76784.0,54880545000.00001,75188184999.99998,50139000000.0,76784000000.0,0.0,0.0,0.0,0
RS,250,400,0.45056,0.86362,0.0375,87.5412749563002,7.494519782202135,73.57854984313002,6.468205330968029,76.8117780730276,90.77450318619776,54157.505,74534.995,47818.0,70062.0,54157505000.0,74534995000.0,47818000000.0,70062000000.0,0.0,0.0,0.0,0
CAHS,300,400,0.12879166666666667,0.22008333333333333,0.0375,71.80841045588208,7.556066432898936,57.783423141228724,6.468920881754426,61.2246355283296,75.24962284298296,80424.17000000001,92379.825,67389.0,88049.0,80424170000.00002,92379825000.0,67389000000.0,88049000000.0,0.7723111209410842,0.1106888790589156,0.11699999999999999,59850
