method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
RS,100,400,0.712,0.70605,0.71795,87.09016350211847,7.336332628350833,72.36072818742605,7.393102686341581,74.53389144072862,89.26332675542102,30683.3425,44896.4025,37028.0,47349.0,30683342500.0,44896402500.0,37028000000.0,47349000000.0,0.0,0.0,0.0,0
RS,150,400,0.71675,0.7169333333333333,0.7165666666666667,84.74144281880164,7.345080813983336,70.07271907202332,7.3236429327949875,72.41724075981224,87.08596450659057,38223.86749999999,58316.1675,43202.0,72404.0,38223867499.99999,58316167500.0,43202000000.0,72404000000.0,0.0,0.0,0.0,0
RS,200,400,0.7211,0.716975,0.725225,85.55945054412004,7.359050143226082,70.89079157363142,7.3096088272625295,73.14580427417144,87.81446324466003,41427.24249999999,65376.2,40416.0,57677.0,41427242499.99999,65376200000.0,40416000000.0,57677000000.0,0.0,0.0,0.0,0
RS,250,400,0.72418,0.72414,0.72422,86.59559839924063,7.348692000556964,71.94301421474829,7.303892183935395,74.57505806661352,89.22764225110588,43480.689999999995,68074.765,39808.0,60761.0,43480689999.99999,68074765000.0,39808000000.0,60761000000.0,0.0,0.0,0.0,0
RS,300,400,0.7230833333333333,0.7194,0.7267666666666667,84.65721732837487,7.338596361034754,70.00932825536478,7.309292711975329,72.62021509577261,87.2681041687827,47006.0675,68680.69249999999,48751.0,82700.0,47006067500.0,68680692499.99999,48751000000.0,82700000000.0,0.0,0.0,0.0,0
RS,350,400,0.7203357142857143,0.7181857142857143,0.7224857142857143,85.9765678226122,7.330046283667259,71.33060882532189,7.315912713623067,73.75001027283653,88.39596927012684,47197.9,68593.78500000002,47019.0,63535.00000000001,47197900000.0,68593785000.000015,47019000000.0,63535000000.00001,0.0,0.0,0.0,0
RS,400,400,0.71959375,0.7171125,0.722075,85.54066900450165,7.320567831014591,70.91540647731559,7.304694696171477,73.54267627684321,88.16793880402925,48161.6725,69213.35,49510.0,73929.0,48161672500.0,69213350000.0,49510000000.0,73929000000.0,0.0,0.0,0.0,0
RS,450,400,0.7202555555555555,0.7206111111111111,0.7199,83.74330469355928,7.337832730945447,69.093755960304,7.3117160023098355,71.66175694033151,86.31130567358679,49970.0625,67711.01,52868.0,70545.0,49970062500.0,67711009999.99999,52868000000.0,70545000000.0,0.0,0.0,0.0,0
RS,500,400,0.72054,0.7197,0.72138,84.05287615702906,7.310339198137878,69.4022680239683,7.340268934922892,71.99082312668756,86.64143125974833,50985.6825,67183.10750000001,55173.0,67459.0,50985682500.0,67183107500.000015,55173000000.0,67459000000.0,0.0,0.0,0.0,0
RS,550,400,0.7211045454545455,0.7220545454545455,0.7201545454545455,84.05593274364546,7.315656476595841,69.40310544150061,7.337170825549014,71.88722045154384,86.54004775368871,50978.8425,66540.955,50566.0,56543.0,50978842500.0,66540955000.0,50566000000.0,56543000000.0,0.0,0.0,0.0,0
RS,600,400,0.7220208333333333,0.7198166666666667,0.724225,84.53239718175396,7.319502854642808,69.88270600825446,7.330188318856702,72.3813629018361,87.03105407533559,50685.45750000001,65206.524999999994,52060.0,65879.0,50685457500.00001,65206524999.99999,52060000000.0,65879000000.0,0.0,0.0,0.0,0
