method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
RS,100,400,0.557775,0.7154,0.40015,85.58970441895235,7.337655590030096,71.17070201460584,7.08134681431641,70.51242667459537,84.93142907894187,20208.285,20548.71,20184.0,21184.0,20208285000.0,20548710000.0,20184000000.0,21184000000.0,0.0,0.0,0.0,0
RS,150,400,0.57575,0.7217333333333333,0.4297666666666667,86.04558873458518,7.334007299747404,71.631069960771,7.0805114740667845,71.37320938667523,85.78772816048942,31082.312499999996,32825.3075,31293.0,32592.0,31082312499.999996,32825307500.000004,31293000000.0,32592000000.0,0.0,0.0,0.0,0
RS,200,400,0.61855,0.71395,0.52315,85.74762748402387,7.3676878144198374,71.29930585259089,7.080633817013138,71.18224198326463,85.6305636146976,39440.32,43399.89,40510.0,42703.0,39440320000.0,43399890000.0,40510000000.0,42703000000.0,0.0,0.0,0.0,0
RS,250,400,0.61752,0.7173,0.51774,85.59343785819944,7.342577171758308,71.1808823497281,7.069978336713036,71.18155587283317,85.59411138130451,44022.605,51499.745,46008.0,55617.0,44022605000.0,51499745000.0,46008000000.0,55617000000.0,0.0,0.0,0.0,0
RS,300,400,0.6288,0.7189166666666666,0.5386833333333333,86.15253034193464,7.337773185176226,71.79083365255445,7.023923504203967,71.80460132042761,86.16629800980782,47140.11,56844.16749999999,41425.0,53570.0,47140110000.0,56844167499.99999,41425000000.0,53570000000.0,0.0,0.0,0.0,0
RS,350,400,0.6211285714285715,0.7161142857142857,0.5261428571428571,86.23945568907573,7.345183923721979,71.87001560708721,7.024256158266552,71.9862163852195,86.35565646720806,49208.887500000004,60508.6375,48143.0,60480.00000000001,49208887500.00001,60508637500.0,48143000000.0,60480000000.00001,0.0,0.0,0.0,0
RS,400,400,0.62395,0.720575,0.527325,86.76333719002228,7.324879333037927,72.44475003956195,6.993707817422421,72.52937693344666,86.84796408390699,51536.88,65780.29250000001,47684.0,61432.00000000001,51536880000.0,65780292500.00001,47684000000.0,61432000000.00001,0.0,0.0,0.0,0
RS,450,400,0.6234555555555555,0.7207777777777777,0.5261333333333333,86.61648182631667,7.338653996513075,72.28701543066228,6.990812399141314,72.42715124382154,86.75661763947592,51798.085,67117.8675,51692.0,66568.0,51798085000.0,67117867499.99999,51692000000.0,66568000000.0,0.0,0.0,0.0,0
RS,500,400,0.621735,0.72287,0.5206,86.34263718805607,7.31198327834891,72.03010062507022,7.000553284636939,72.24537009674265,86.5579066597285,52608.784999999996,67002.8625,57039.0,64904.0,52608785000.0,67002862500.0,57039000000.0,64904000000.0,0.0,0.0,0.0,0
RS,550,400,0.6079545454545454,0.7221545454545455,0.49375454545454545,86.45952146369774,7.324253809818085,72.16258575022682,6.972681903652836,72.36500280651127,86.66193851998217,58323.270000000004,66424.85250000001,61366.0,65829.0,58323270000.00001,66424852500.00001,61366000000.0,65829000000.0,0.0,0.0,0.0,0
RS,600,400,0.6275666666666667,0.7231583333333333,0.531975,86.6273464865088,7.332503346648943,72.3240922162336,6.970750923626266,72.53387953315281,86.837133803428,60609.15249999999,65311.3325,73787.0,81291.00000000001,60609152499.99999,65311332500.0,73787000000.0,81291000000.00002,0.0,0.0,0.0,0
