method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
RS,100,400,0.570475,0.8611,0.27985,88.50101628533335,7.508645405750306,73.59325951820713,7.399111361375917,76.63746314154612,91.54521990867235,24913.812500000004,25835.050000000003,24315.0,25453.0,24913812500.000004,25835050000.000004,24315000000.0,25453000000.0,0.0,0.0,0.0,0
RS,150,400,0.59315,0.8640333333333333,0.32226666666666665,88.55669707249741,7.506861858655257,73.75741620612985,7.292419007712301,77.05577609519968,91.85505696156724,37214.67,42348.479999999996,36618.0,43672.99999999999,37214670000.0,42348479999.99999,36618000000.0,43672999999.99999,0.0,0.0,0.0,0
RS,200,400,0.5705875,0.85975,0.281425,89.32774571625181,7.498071895458451,74.6313603314923,7.198313489301065,77.71165478573079,92.40804017049031,46838.145,58565.5175,48020.0,59992.99999999999,46838145000.0,58565517500.0,48020000000.0,59992999999.99999,0.0,0.0,0.0,0
RS,250,400,0.58077,0.86438,0.29716,88.48415721443591,7.499360809211513,73.75434538241356,7.230451022810823,77.12232880704697,91.85214063906929,54368.424999999996,74502.5725,54843.0,70571.0,54368424999.99999,74502572500.0,54843000000.0,70571000000.0,0.0,0.0,0.0,0
RS,300,400,0.5858083333333334,0.8628833333333333,0.30873333333333336,88.59764771100836,7.506061689267162,73.9077241191323,7.18386190260892,77.26868473844826,91.95860833032435,59140.520000000004,88278.5525,66621.0,92042.0,59140520000.00001,88278552500.0,66621000000.0,92042000000.0,0.0,0.0,0.0,0
RS,350,400,0.5849214285714286,0.8645285714285714,0.3053142857142857,88.32447945309588,7.493200021429868,73.81586830195873,7.01541112970727,77.12254934254278,91.63116049367993,63914.350000000006,100512.2,60262.0,92690.99999999999,63914350000.00001,100512200000.0,60262000000.0,92690999999.99998,0.0,0.0,0.0,0
RS,400,400,0.55169375,0.8638,0.2395875,88.24167121227026,7.482090643331426,73.8412615582453,6.918319010693531,77.22810773871534,91.62851739274029,66055.4675,106595.195,66813.0,101867.0,66055467500.0,106595195000.0,66813000000.0,101867000000.0,0.0,0.0,0.0,0
RS,450,400,0.5521166666666667,0.8655,0.23873333333333333,88.01945967437729,7.486644264915006,73.73684231757179,6.795973091890495,77.08736576297945,91.36998311978493,68177.87999999999,110488.4075,70731.0,111299.0,68177879999.99999,110488407500.0,70731000000.0,111299000000.0,0.0,0.0,0.0,0
RS,500,400,0.55197,0.86445,0.23949,88.04282189060048,7.482122568801497,73.81173893807335,6.748960383725635,77.25560575834943,91.48668871087655,67823.0425,113121.93500000001,66628.0,111468.0,67823042499.99999,113121935000.00002,66628000000.0,111468000000.0,0.0,0.0,0.0,0
RS,550,400,0.5507136363636363,0.8646545454545455,0.23677272727272727,87.49795195848836,7.483289327916323,73.37441687540554,6.640245755166474,76.83376479367071,90.95729987675351,70474.51499999998,115407.37749999999,66539.0,115537.0,70474514999.99998,115407377499.99998,66539000000.0,115537000000.0,0.0,0.0,0.0,0
RS,600,400,0.549475,0.8647833333333333,0.23416666666666666,87.86794929748163,7.49409893216806,73.75489212838727,6.618958236926292,77.23566567393644,91.34872284303079,71796.765,118050.08249999999,64211.0,116483.99999999999,71796765000.0,118050082499.99998,64211000000.0,116483999999.99998,0.0,0.0,0.0,0
