figure,metric,method,users,value
fig3_A,throughput,RS,100,17126.43678160919
fig3_A,throughput,RS,150,27614.942528735628
fig3_A,throughput,RS,200,34655.1724137931
fig3_A,throughput,RS,250,39971.2643678161
fig3_A,throughput,RS,300,43850.574712643676
fig3_A,throughput,RS,350,47155.1724137931
fig3_A,throughput,RS,400,49885.05747126437
fig3_A,throughput,RS,450,51321.83908045977
fig3_A,throughput,RS,500,53333.333333333336
fig3_A,throughput,RS,550,54770.11494252874
fig3_A,throughput,RS,600,56206.89655172414
fig3_A,throughput,MSTS,100,22442.52873563218
fig3_A,throughput,MSTS,150,33505.74712643678
fig3_A,throughput,MSTS,200,39540.22988505747
fig3_A,throughput,MSTS,250,44712.643678160915
fig3_A,throughput,MSTS,300,47586.206896551725
fig3_A,throughput,MSTS,350,49597.70114942529
fig3_A,throughput,MSTS,400,51609.19540229885
fig3_A,throughput,MSTS,450,53333.333333333336
fig3_A,throughput,MSTS,500,54770.11494252874
fig3_A,throughput,MSTS,550,55057.471264367814
fig3_A,throughput,MSTS,600,55919.54022988506
fig3_A,throughput,MGCS,100,24310.344827586203
fig3_A,throughput,MGCS,150,36091.95402298851
fig3_A,throughput,MGCS,200,43850.574712643676
fig3_A,throughput,MGCS,250,49885.05747126437
fig3_A,throughput,MGCS,300,53333.333333333336
fig3_A,throughput,MGCS,350,56494.25287356322
fig3_A,throughput,MGCS,400,59367.816091954024
fig3_A,throughput,MGCS,450,60229.88505747126
fig3_A,throughput,MGCS,500,61954.02298850575
fig3_A,throughput,MGCS,550,63965.51724137931
fig3_A,throughput,MGCS,600,64252.87356321839
fig3_A,throughput,CAHS,100,23735.63218390804
fig3_A,throughput,CAHS,150,38678.16091954023
fig3_A,throughput,CAHS,200,47298.85057471265
fig3_A,throughput,CAHS,250,54770.11494252874
fig3_A,throughput,CAHS,300,59367.816091954024
fig3_A,throughput,CAHS,350,63390.80459770115
fig3_A,throughput,CAHS,400,65977.01149425287
fig3_A,throughput,CAHS,450,67988.50574712643
fig3_A,throughput,CAHS,500,69712.64367816092
fig3_A,throughput,CAHS,550,72298.85057471265
fig3_A,throughput,CAHS,600,73735.63218390805
fig3_A,delay,RS,100,78.63541666666667
fig3_A,delay,RS,150,78.85416666666667
fig3_A,delay,RS,200,78.59895833333333
fig3_A,delay,RS,250,78.78125
fig3_A,delay,RS,300,78.85416666666667
fig3_A,delay,RS,350,78.52604166666667
fig3_A,delay,RS,400,78.47135416666667
fig3_A,delay,RS,450,78.5625
fig3_A,delay,RS,500,78.5625
fig3_A,delay,RS,550,78.70833333333333
fig3_A,delay,RS,600,71.05208333333333
fig3_A,delay,MSTS,100,77.17708333333333
fig3_A,delay,MSTS,150,78.63541666666667
fig3_A,delay,MSTS,200,76.63020833333333
fig3_A,delay,MSTS,250,77.76041666666667
fig3_A,delay,MSTS,300,78.08854166666667
fig3_A,delay,MSTS,350,77.03125
fig3_A,delay,MSTS,400,76.375
fig3_A,delay,MSTS,450,76.921875
fig3_A,delay,MSTS,500,77.32291666666667
fig3_A,delay,MSTS,550,77.10416666666667
fig3_A,delay,MSTS,600,77.65104166666667
fig3_A,delay,MGCS,100,77.32291666666667
fig3_A,delay,MGCS,150,76.1015625
fig3_A,delay,MGCS,200,75.46354166666667
fig3_A,delay,MGCS,250,75.57291666666667
fig3_A,delay,MGCS,300,75.68229166666667
fig3_A,delay,MGCS,350,76.15625
fig3_A,delay,MGCS,400,75.42708333333333
fig3_A,delay,MGCS,450,75.86458333333333
fig3_A,delay,MGCS,500,75.86458333333333
fig3_A,delay,MGCS,550,75.97395833333333
fig3_A,delay,MGCS,600,75.71875
fig3_A,delay,CAHS,100,72.15
fig3_A,delay,CAHS,150,71.72
fig3_A,delay,CAHS,200,71.98
fig3_A,delay,CAHS,250,72.1640625
fig3_A,delay,CAHS,300,72.546875
fig3_A,delay,CAHS,350,73.53125
fig3_A,delay,CAHS,400,73.13020833333333
fig3_A,delay,CAHS,450,73.34895833333333
fig3_A,delay,CAHS,500,73.13020833333333
fig3_A,delay,CAHS,550,73.60416666666667
fig3_A,delay,CAHS,600,73.02083333333333
fig3_A,handover,RS,100,0.731578947368421
fig3_A,handover,RS,150,0.7403508771929824
fig3_A,handover,RS,200,0.7350877192982456
fig3_A,handover,RS,250,0.731578947368421
fig3_A,handover,RS,300,0.7421052631578947
fig3_A,handover,RS,350,0.7421052631578947
fig3_A,handover,RS,400,0.7350877192982456
fig3_A,handover,RS,450,0.7403508771929824
fig3_A,handover,RS,500,0.7385964912280701
fig3_A,handover,RS,550,0.7368421052631579
fig3_A,handover,RS,600,0.7385964912280701
fig3_A,handover,MSTS,100,0.04035087719298247
fig3_A,handover,MSTS,150,0.04035087719298247
fig3_A,handover,MSTS,200,0.04035087719298247
fig3_A,handover,MSTS,250,0.04035087719298247
fig3_A,handover,MSTS,300,0.04035087719298247
fig3_A,handover,MSTS,350,0.04035087719298247
fig3_A,handover,MSTS,400,0.04035087719298247
fig3_A,handover,MSTS,450,0.04035087719298247
fig3_A,handover,MSTS,500,0.04035087719298247
fig3_A,handover,MSTS,550,0.04035087719298247
fig3_A,handover,MSTS,600,0.04035087719298247
fig3_A,handover,MGCS,100,0.09999999999999998
fig3_A,handover,MGCS,150,0.09999999999999998
fig3_A,handover,MGCS,200,0.0964912280701754
fig3_A,handover,MGCS,250,0.09999999999999998
fig3_A,handover,MGCS,300,0.09999999999999998
fig3_A,handover,MGCS,350,0.09999999999999998
fig3_A,handover,MGCS,400,0.09999999999999998
fig3_A,handover,MGCS,450,0.09999999999999998
fig3_A,handover,MGCS,500,0.09999999999999998
fig3_A,handover,MGCS,550,0.09999999999999998
fig3_A,handover,MGCS,600,0.09999999999999998
fig3_A,handover,CAHS,100,0.1210526315789473
fig3_A,handover,CAHS,150,0.1105263157894737
fig3_A,handover,CAHS,200,0.09999999999999998
fig3_A,handover,CAHS,250,0.09122807017543855
fig3_A,handover,CAHS,300,0.08245614035087723
fig3_A,handover,CAHS,350,0.07894736842105254
fig3_A,handover,CAHS,400,0.07543859649122797
fig3_A,handover,CAHS,450,0.07192982456140351
fig3_A,handover,CAHS,500,0.07192982456140351
fig3_A,handover,CAHS,550,0.06842105263157894
fig3_A,handover,CAHS,600,0.06842105263157894
