figure,metric,method,users,value
fig4_B,throughput,RS,100,17938.14432989691
fig4_B,throughput,RS,150,29896.907216494845
fig4_B,throughput,RS,200,40206.18556701031
fig4_B,throughput,RS,250,48865.9793814433
fig4_B,throughput,RS,300,55463.91752577319
fig4_B,throughput,RS,350,60824.74226804124
fig4_B,throughput,RS,400,64536.08247422681
fig4_B,throughput,RS,450,68247.42268041238
fig4_B,throughput,RS,500,72371.13402061856
fig4_B,throughput,RS,550,74432.98969072165
fig4_B,throughput,RS,600,76082.47422680413
fig4_B,throughput,MSTS,100,21237.11340206185
fig4_B,throughput,MSTS,150,33195.8762886598
fig4_B,throughput,MSTS,200,43917.52577319588
fig4_B,throughput,MSTS,250,51752.57731958763
fig4_B,throughput,MSTS,300,57938.1443298969
fig4_B,throughput,MSTS,350,61649.48453608247
fig4_B,throughput,MSTS,400,65360.82474226804
fig4_B,throughput,MSTS,450,69072.1649484536
fig4_B,throughput,MSTS,500,71546.39175257731
fig4_B,throughput,MSTS,550,73608.2474226804
fig4_B,throughput,MSTS,600,74432.98969072165
fig4_B,throughput,MGCS,100,30927.835051546383
fig4_B,throughput,MGCS,150,44329.8969072165
fig4_B,throughput,MGCS,200,57938.1443298969
fig4_B,throughput,MGCS,250,65773.19587628866
fig4_B,throughput,MGCS,300,71134.02061855671
fig4_B,throughput,MGCS,350,74845.36082474227
fig4_B,throughput,MGCS,400,78144.32989690722
fig4_B,throughput,MGCS,450,80618.55670103093
fig4_B,throughput,MGCS,500,82680.41237113402
fig4_B,throughput,MGCS,550,84742.26804123711
fig4_B,throughput,MGCS,600,85567.01030927835
fig4_B,throughput,CAHS,100,27835.051546391755
fig4_B,throughput,CAHS,150,45979.38144329897
fig4_B,throughput,CAHS,200,60000.0
fig4_B,throughput,CAHS,250,70309.27835051547
fig4_B,throughput,CAHS,300,77319.58762886598
fig4_B,throughput,CAHS,350,82680.41237113402
fig4_B,throughput,CAHS,400,88453.60824742269
fig4_B,throughput,CAHS,450,91752.57731958762
fig4_B,throughput,CAHS,500,95463.9175257732
fig4_B,throughput,CAHS,550,97938.14432989691
fig4_B,throughput,CAHS,600,99587.62886597938
fig4_B,delay,RS,100,82.56410256410257
fig4_B,delay,RS,150,82.35897435897436
fig4_B,delay,RS,200,82.71794871794872
fig4_B,delay,RS,250,82.25641025641026
fig4_B,delay,RS,300,82.2051282051282
fig4_B,delay,RS,350,82.48717948717949
fig4_B,delay,RS,400,82.3076923076923
fig4_B,delay,RS,450,82.46153846153847
fig4_B,delay,RS,500,82.46153846153847
fig4_B,delay,RS,550,82.51282051282051
fig4_B,delay,RS,600,82.41025641025641
fig4_B,delay,MSTS,100,81.94871794871794
fig4_B,delay,MSTS,150,82.56410256410257
fig4_B,delay,MSTS,200,82.56410256410257
fig4_B,delay,MSTS,250,82.71794871794872
fig4_B,delay,MSTS,300,82.35897435897436
fig4_B,delay,MSTS,350,82.87179487179488
fig4_B,delay,MSTS,400,82.82051282051282
fig4_B,delay,MSTS,450,82.92307692307692
fig4_B,delay,MSTS,500,82.51282051282051
fig4_B,delay,MSTS,550,82.92307692307692
fig4_B,delay,MSTS,600,82.92307692307692
fig4_B,delay,MGCS,100,80.35897435897436
fig4_B,delay,MGCS,150,81.12820512820512
fig4_B,delay,MGCS,200,80.2051282051282
fig4_B,delay,MGCS,250,79.53846153846153
fig4_B,delay,MGCS,300,79.7948717948718
